world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
18824.837343,1104,188,18824.062624000002,1051.9104999984847,1.4159960099333173,-0.6635653376579285,1.2803876399993896,-0.6635653376579285,1.2803876399993896,False
18824.90432,1105,188,18824.062624000002,1051.9104999984847,1.4159960099333173,-0.5819543600082397,1.2195227146148682,-0.5819543600082397,1.2195227146148682,False
18825.121202000002,1108,188,18824.062624000002,1051.9104999984847,1.4159960099333173,-0.6413624882698059,1.263733148574829,-0.6413624882698059,1.263733148574829,False
18825.426529,1113,189,18825.436038500004,85.64649999607354,2.8382219059670404,0.8126499652862549,0.5070274472236633,0.8126499652862549,0.5070274472236633,True
18825.480618,1114,189,18825.436038500004,85.64649999607354,2.8382219059670404,0.833311915397644,0.475051611661911,0.833311915397644,0.475051611661911,True
18825.546271,1115,189,18825.436038500004,85.64649999607354,2.8382219059670404,0.8476937413215637,0.45767420530319214,0.8476937413215637,0.45767420530319214,True
18825.546271,1115,190,18825.532473500003,529.5599999953993,2.708890912231194,0.8105164766311646,0.43057626485824585,0.8105164766311646,0.43057626485824585,True
18825.603989,1116,190,18825.532473500003,529.5599999953993,2.708890912231194,0.8120657801628113,0.42186227440834045,0.8120657801628113,0.42186227440834045,True
18825.661074,1117,190,18825.532473500003,529.5599999953993,2.708890912231194,0.8106928467750549,0.40595805644989014,0.8106928467750549,0.40595805644989014,True
18825.726475,1118,190,18825.532473500003,529.5599999953993,2.708890912231194,0.8132240176200867,0.4076744019985199,0.8132240176200867,0.4076744019985199,True
18825.786985,1119,190,18825.532473500003,529.5599999953993,2.708890912231194,0.8158512115478516,0.41661399602890015,0.8158512115478516,0.41661399602890015,True
18825.854493,1120,190,18825.532473500003,529.5599999953993,2.708890912231194,0.7822163701057434,0.44508734345436096,0.7822163701057434,0.44508734345436096,True
18825.926551,1121,190,18825.532473500003,529.5599999953993,2.708890912231194,0.8029767274856567,0.44134148955345154,0.8029767274856567,0.44134148955345154,True
18825.991546,1122,190,18825.532473500003,529.5599999953993,2.708890912231194,0.7998735308647156,0.4513396918773651,0.7998735308647156,0.4513396918773651,True
18826.053363,1123,190,18825.532473500003,529.5599999953993,2.708890912231194,0.744138777256012,0.4807009696960449,0.744138777256012,0.4807009696960449,True
18826.053363,1123,191,18826.080371,1094.8475000004692,2.812905498490811,0.7781645059585571,0.4744223654270172,0.7781645059585571,0.4744223654270172,True
18826.110699,1124,191,18826.080371,1094.8475000004692,2.812905498490811,0.7635512948036194,0.4815639555454254,0.7635512948036194,0.4815639555454254,True
18826.174258,1125,191,18826.080371,1094.8475000004692,2.812905498490811,0.841198742389679,0.44218844175338745,0.841198742389679,0.44218844175338745,True
18826.244159,1126,191,18826.080371,1094.8475000004692,2.812905498490811,0.8418970704078674,0.44793692231178284,0.8418970704078674,0.44793692231178284,True
18826.320277,1127,191,18826.080371,1094.8475000004692,2.812905498490811,0.7580318450927734,0.48918843269348145,0.7580318450927734,0.48918843269348145,True
18826.382197,1128,191,18826.080371,1094.8475000004692,2.812905498490811,0.8443384766578674,0.4561907947063446,0.8443384766578674,0.4561907947063446,True
18826.440132,1129,191,18826.080371,1094.8475000004692,2.812905498490811,0.8441053628921509,0.4552980661392212,0.8441053628921509,0.4552980661392212,True
18826.50609,1130,191,18826.080371,1094.8475000004692,2.812905498490811,0.843432605266571,0.4573725163936615,0.843432605266571,0.4573725163936615,True
18826.573641,1131,191,18826.080371,1094.8475000004692,2.812905498490811,0.841403067111969,0.4637061655521393,0.841403067111969,0.4637061655521393,True
18826.621871,1132,191,18826.080371,1094.8475000004692,2.812905498490811,0.7940773367881775,0.4840664565563202,0.7940773367881775,0.4840664565563202,True
18826.686767,1133,191,18826.080371,1094.8475000004692,2.812905498490811,0.7645704746246338,0.5027932524681091,0.7645704746246338,0.5027932524681091,True
18826.759417,1134,191,18826.080371,1094.8475000004692,2.812905498490811,0.8395189642906189,0.45702633261680603,0.8395189642906189,0.45702633261680603,True
18826.826453,1135,191,18826.080371,1094.8475000004692,2.812905498490811,0.7489304542541504,0.501786470413208,0.7489304542541504,0.501786470413208,True
18826.894327,1136,191,18826.080371,1094.8475000004692,2.812905498490811,0.8411237001419067,0.47234705090522766,0.8411237001419067,0.47234705090522766,True
18826.950147,1137,191,18826.080371,1094.8475000004692,2.812905498490811,0.8354936838150024,0.47127628326416016,0.8354936838150024,0.47127628326416016,True
18827.025176,1138,191,18826.080371,1094.8475000004692,2.812905498490811,0.8043596148490906,0.4817299544811249,0.8043596148490906,0.4817299544811249,True
18827.084727,1139,191,18826.080371,1094.8475000004692,2.812905498490811,0.7739050388336182,0.49595022201538086,0.7739050388336182,0.49595022201538086,True
18827.15036,1140,191,18826.080371,1094.8475000004692,2.812905498490811,0.8287914395332336,0.48453694581985474,0.8287914395332336,0.48453694581985474,True
18827.211282,1141,192,18827.188141500003,200.34749999831547,2.4296613554309343,0.779538094997406,0.4355873763561249,0.779538094997406,0.4355873763561249,True
18827.274614,1142,192,18827.188141500003,200.34749999831547,2.4296613554309343,0.8376032710075378,0.40109384059906006,0.8376032710075378,0.40109384059906006,True
18827.335357,1143,192,18827.188141500003,200.34749999831547,2.4296613554309343,0.7774630188941956,0.44855546951293945,0.7774630188941956,0.44855546951293945,True
18827.405256000002,1144,192,18827.188141500003,200.34749999831547,2.4296613554309343,0.8283736705780029,0.42833176255226135,0.8283736705780029,0.42833176255226135,True
18827.465372,1145,193,18827.4544915,88.5085000008985,2.6215919016941807,0.651672899723053,0.450446218252182,0.651672899723053,0.450446218252182,True
18827.522938000002,1146,193,18827.4544915,88.5085000008985,2.6215919016941807,0.6649977564811707,0.4339752197265625,0.6649977564811707,0.4339752197265625,True
18827.986806,1154,195,18827.9026965,285.8830000004673,2.7452423041601035,-0.5192208886146545,1.197319746017456,-0.5192208886146545,1.197319746017456,False
18828.172298,1157,195,18827.9026965,285.8830000004673,2.7452423041601035,-0.7459193468093872,1.3293827772140503,-0.7459193468093872,1.3293827772140503,False
18828.246486,1158,196,18828.270061,1097.8700000014214,2.6935137588837077,-0.4994959831237793,1.201311469078064,-0.4994959831237793,1.201311469078064,False
18828.52173,1162,196,18828.270061,1097.8700000014214,2.6935137588837077,-0.5363825559616089,1.2230863571166992,-0.5363825559616089,1.2230863571166992,False
18828.581538,1163,196,18828.270061,1097.8700000014214,2.6935137588837077,-0.597811222076416,1.2682592868804932,-0.597811222076416,1.2682592868804932,False
18828.640826,1164,196,18828.270061,1097.8700000014214,2.6935137588837077,-0.4435165226459503,1.189802646636963,-0.4435165226459503,1.189802646636963,False
